consola,genero,lanzamiento,titulo,upc
XONE,Rol/Estrategia/Destreza,10/11/2015,FALLOUT 4,093155170575-1-00003-1
PS4,Rol/Estrategia/Destreza,11/11/2015,FALLOUT 4 PIP BOY EDITION,093155170544-0-00000-0
XONE,Rol/Estrategia/Destreza,11/11/2015,FALLOUT 4 PIP BOY EDITION,093155170551-0-00000-0
PS4,Accion,17/11/2015,STAR WARS BATTLEFRONT DELUXE EDITION,014633370478-1-00000-0
XONE,Accion,17/11/2015,STAR WARS BATTLEFRONT DELUXE EDITION,014633735741-0-00000-0
PS4,Accion,17/11/2015,STAR WARS BATTLEFRONT,014633735703-1-00003-11
XONE,Accion,17/11/2015,STAR WARS BATTLEFRONT,014633735734-1-00013-3
WIIU,Aventura,13/11/2015,ANIMAL CROSSING AMIIBO FESTIVAL AMIIBOS BUNDLE,045496903817-1-00000-0
WIIU,Musical,10/11/2015,GUITAR HERO LIVE 2 GUITAR BUNDLE,047875876163-1-00000-0
XONE,Musical,10/11/2015,GUITAR HERO LIVE 2 GUITAR BUNDLE,047875876149-0-00000-0
PS4,Musical,10/11/2015,GUITAR HERO LIVE 2 GUITAR BUNDLE,047875876088-1-00000-0
WIIU,Accion,06/11/2015,NEW SUPER MARIO BROS U WITH NEW SUPER LUIGI U,045496903749-1-00000-0
360,Accion,17/11/2015,GAME OF THRONES A TELLTALE GAME SERIES,894515001610-1-00001-0
XONE,Accion,17/11/2015,GAME OF THRONES A TELLTALE GAME SERIES,894515001627-1-00000-0
PS4,Accion,17/11/2015,GAME OF THRONES A TELLTALE GAME SERIES,894515001641-1-00000-0
PS3,Accion,17/11/2015,GAME OF THRONES A TELLTALE GAME SERIES,894515001634-1-00000-1
N3DS,Rol/Estrategia/Destreza,20/11/2015,POKEMON SUPER MYSTERY DUNGEON,045496743314-1-00000-1
3DS,Rol/Estrategia/Destreza,15/04/2016,BRAVELY SECOND END LAYER,045496743673-1-00001-0
WIIU,Deportes,20/11/2015,MARIO TENNIS ULTRA SMASH,045496903770-1-00001-1
PS4,Rol/Estrategia/Destreza,17/11/2015,SWORD ART ONLINE LOST SONG,722674120326-0-00000-0
PSV,Rol/Estrategia/Destreza,17/11/2015,SWORD ART ONLINE LOST SONG,722674150491-0-00000-0
PS3,Rol/Estrategia/Destreza,24/11/2015,BORDERLANDS TRIPLE PACK,710425477041-1-00000-0
360,Rol/Estrategia/Destreza,24/11/2015,BORDERLANDS TRIPLE PACK,710425497032-1-00000-0
PS4,Accion,01/12/2015,JUST CAUSE 3 COLLECTORS EDITION,662248915906-1-00000-0
XONE,Accion,01/12/2015,JUST CAUSE 3 COLLECTORS EDITION,662248915890-1-00000-0
PS4,Accion,01/12/2015,JUST CAUSE 3,662248915869-1-00000-4
XONE,Accion,01/12/2015,JUST CAUSE 3,662248915852-1-00006-5
XONE,Disparos,01/12/2015,RAINBOW SIX SIEGE,887256009939-1-00009-0
PS4,Disparos,01/12/2015,RAINBOW SIX SIEGE,887256009915-1-00009-6
XONE,Disparos,01/12/2015,RAINBOW SIX SIEGE GOLD EDITION,887256014469-0-00000-0
PS4,Disparos,01/12/2015,RAINBOW SIX SIEGE GOLD EDITION,887256014452-0-00000-0
XONE,Disparos,01/12/2015,CALL OF DUTY BLACK OPS III HARDENED EDITION,047875876514-1-00000-0
PS4,Disparos,01/12/2015,CALL OF DUTY BLACK OPS III HARDENED EDITION,047875876491-1-00000-0
WIIU,Rol/Estrategia/Destreza,04/12/2015,XENOBLADE CHRONICLES X SPECIAL EDITION,045496903824-0-00000-0
WIIU,Rol/Estrategia/Destreza,04/12/2015,XENOBLADE CHRONICLES X,045496903664-1-00002-0
NDS,Rol/Estrategia/Destreza,01/01/2006,CHILDREN OF MANA,045496737702-0-00000-0
PS3,Aventura,21/10/2012,SKYLANDERS GIANTS EXPANSION PACK,047875844766-0-00000-0
3DS,Aventura,21/10/2012,SKYLANDERS GIANTS EXPANSION PACK,047875844858-0-00000-0
WII,Musical,17/02/2015,ACTIVE LIFE MAGICAL CARNIVAL WITH MAT,722674800341-0-00000-0
XONE,Disparos,24/05/2016,OVERWATCH ORIGINS EDITION,047875877658-1-00001-1
PS4,Disparos,24/05/2016,OVERWATCH ORIGINS EDITION,047875877627-1-00004-1
XONE,Disparos,22/12/2015,CALL OF DUTY BLACK OPS III JUGGERNOG EDITION,047875876507-0-00000-0
PS4,Disparos,15/12/2015,CALL OF DUTY BLACK OPS III JUGGERNOG EDITION,047875876484-0-00000-0
PS4,Aventura,22/12/2015,THE PEANUTS MOVIE VIDEOGAME,047875770805-0-00000-0
XONE,Aventura,22/12/2015,THE PEANUTS MOVIE VIDEOGAME,047875770843-0-00000-0
N3DS,Aventura,29/12/2015,THE PEANUTS MOVIE,047875770881-0-00000-0
PS3,Accion,08/12/2015,GRAND THEFT AUTO SAN ANDREAS,710425476969-1-00000-0
XONE,Otros,22/12/2015,SKYLANDERS SWAP FORCE STARTER KIT,047875847095-1-00000-0
PS4,Peleas,25/04/2016,DEAD OR ALIVE XTREME 3 FORTUNE EDITION,4710782156449-0-00000-0
PSV,Peleas,25/04/2016,DEAD OR ALIVE XTREME 3 VENUS EDITION,4710782156463-1-00000-0
PS4,Aventura,NO CONFIRMADO,DETROIT: BECOME HUMAN,P00000001212-1-00001-0
PS4,Deportes,29/03/2016,MLB 16 THE SHOW,711719502715-0-00000-0
XONE,Accion,23/08/2016,DEUS EX MANKIND DIVIDED COLLECTORS EDITION,662248916439-1-00000-0
PS4,Accion,23/08/2016,DEUS EX MANKIND DIVIDED COLLECTORS EDITION,662248916446-1-00000-1
PS4,Rol/Estrategia/Destreza,13/10/2015,DRAGON QUEST HEROES,662248916491-1-00000-0
WIIU,Musical,20/10/2015,JUST DANCE 2016 GOLD EDITION,887256014490-1-00000-0
PS3,Accion,29/12/2015,ASSASSINS CREED THE AMERICAS COLLECTION,887256000615-1-00001-0
360,Musical,20/10/2015,JUST DANCE DISNEY 2,887256014650-1-00000-0
WII,Musical,20/10/2015,JUST DANCE DISNEY 2,887256014636-1-00000-0
PS3,Musical,20/10/2015,JUST DANCE 2016,887256014285-1-00000-0
PCS,Rol/Estrategia/Destreza,05/01/2016,HEROES OF THE STORM,047875863507-1-00000-0
